"Rank","Name","Symbol","marketcap","price (USD)","country"
"470","The People's Insurance Company (PICC)","601319.SS","47852284432","1.15191","China"
"471","Lonza","LONN.SW","47784624321","681.221","Switzerland"
"472","Glencore","GLCNF","47508398080","4","Switzerland"
"473","Guotai Junan Securities","601211.SS","47401139075","2.80386","China"
"474","Keurig Dr Pepper","KDP","47287296000","34.81","United States"
"475","Experian","EXPGF","47217139712","51.65","Ireland"
"476","D. R. Horton","DHI","47181103104","158.26","United States"
"477","Novatek","NVTK.ME","47154375586","15.43","Russia"
"478","Suncor Energy","SU","47122632704","38.84","Canada"
"479","KBC","KBCSF","46927310848","105.7","Belgium"
"480","Goodman Group","GMG.AX","46879636313","23.0803","Australia"
"481","UOB","U11.SI","46858820759","28.2251","Singapore"
"482","BASF","BAS.DE","46827151410","52.4661","Germany"
"483","Oneok","OKE","46633435136","74.05","United States"
"484","HCL Technologies","HCLTECH.NS","46483805951","17.1571","India"
"485","CBRE Group","CBRE","46454124544","156.12","United States"
"486","Takeda Pharmaceutical","TAK","46314045440","14.63","Japan"
"487","Jingdong Mall","JD","46300979200","32.12","China"
"488","Holcim Group","HOLN.SW","46298465304","84.0238","Switzerland"
"489","Maruti Suzuki India","MARUTI.NS","46068266265","146.526","India"
"490","Hoya","7741.T","45958789614","134.085","Japan"
"491","W. W. Grainger","GWW","45952393216","960.7","United States"
"492","ACWA POWER Company","2082.SR","45728722175","59.6904","Saudi Arabia"
"493","Copart","CPRT","45639380992","47.2","United States"
"494","SABIC","2010.SR","45567191752","15.1891","Saudi Arabia"
"495","Block","XYZ","45438390272","74.54","United States"
"496","Ferguson Enterprises","FERG","45429288960","226.37","United Kingdom"
"497","Pop Mart International Group","9992.HK","45344131734","34.1406","China"
"498","Edwards Lifesciences","EW","45165604864","76.93","United States"
"499","Daiichi Sankyō","4568.T","45152655770","24.2408","Japan"
"500","Emirates NBD Bank PJSC","EMIRATESNBD.AE","45144411455","7.07914","United Arab Emirates"
